Kalimat #,text
30,burger
30,kayaknya
30,enak
30,enak
30,next
30,time
30,mau
30,cobain
31,makanannya
31,enak2
31,semuaa
31,kesini
31,ber15
31,dan
31,semua
31,makanan
31,nya
31,gaada
31,yang
31,fail
31,gue
31,pribadi
31,kemarin
31,makan
31,salmon
31,alfredo
31,ini
31,juga
31,worth
31,to
31,try
31,trs
31,sate
31,maranggi
31,nya
31,juga
31,enak
31,banget
31,hehe
31,pasti
31,bakalan
31,balik
31,lagi
31,pokoknya
32,ke
32,bandung
32,selalu
32,kesini
32,tapi
32,ini
32,twrakhir
32,kesini
32,makanan
32,enak
32,tapi
32,gak
32,worth
32,to
32,wait
32,masa
32,15
32,jam
32,gak
32,keluar
32,klo
32,plating
32,makan
32,waktu
32,yaa
32,di
32,revisi
32,dong
32,gila
32,orang
32,suruh
32,nunggu
32,15
32,jam
32,hnya
32,untuk
32,nasgor
33,miss
33,bee
33,providore
33,makanan
33,yg
33,dipesan
33,mushroom
33,spaghetti
33,enak
33,bgt
33,dr
33,makanan
33,lain
33,yg
33,dipesan
33,ini
33,paling
33,enak
33,disajikan
33,cantik
33,dgn
33,garlic
33,bread
33,dan
33,telur
33,setengah
33,matang
33,sirloin
33,steak
33,imported
33,pesan
33,medium
33,well
33,keluarnya
33,masih
33,lumayan
33,mentah
33,rasa
33,so
33,so
33,tp
33,penyajian
33,lucu
33,dan
33,potato
33,wedgesnya
33,enaaaak
33,tenderloin
33,steak
33,imported
33,pesan
33,medium
33,well
33,keluarnya
33,sesuai
33,rasa
33,so
33,so
33,penyajian
33,jg
33,so
33,so
33,ga
33,difoto
33,minuman
33,yg
33,dipesan
33,mango
33,mint
33,ga
33,sempet
33,difoto
33,rasanya
33,super
33,enaaaak
33,very
33,very
33,recommended
34,aku
34,dan
34,suami
34,kesini
34,untuk
34,sarapan
34,liat
34,reviewnya
34,bagus
34,banget
34,well
34,sepadan
34,untuk
34,tempatnya
34,yg
34,bagus
34,nyaman
34,earthy
34,karena
34,banyak
34,pepohonan
34,dan
34,konsepnya
34,rumah
34,kaca
34,betah
34,berlamalama
34,disana
34,tapi
34,yg
34,agak
34,sayang
34,ternyata
34,kalo
34,pagi
34,hanya
34,menyediakan
34,menu
34,breakfast
34,jadi
34,pilihannya
34,nggak
34,terlalu
34,banyak
34,meskipun
34,make
34,sense
34,sih
34,hehe
34,cuma
34,tadinya
34,mau
34,pesen
34,menu
34,yg
34,diluar
34,menu
34,breakfast
34,setelah
34,lamaa
34,survey
34,mau
34,pesen
34,apa
34,selain
34,di
34,foto
34,itu
34,lupa
34,namanya
34,kita
34,juga
34,pesen
34,waffle
34,smores
34,yg
34,ternyata
34,punya
34,kafe
34,sebelah
34,dan
34,bayar
34,terpisah
34,rasanya
34,enak
34,sih
34,tapi
34,cenderung
34,biasa
34,aja
34,mungkin
34,kita
34,salah
34,pilih
34,menu
34,ya
34,kopi
34,dan
34,tehnya
34,lumayan
34,enak
34,masih
34,penasaran
34,dgn
34,menu
34,lainnya
34,yg
34,mungkin
34,lebih
34,enak
34,dan
34,worth
34,the
34,price
34,and
34,the
34,reviews
34,mungkin
34,akan
34,kembali
34,lagi
34,buat
34,buktiin
34,hehe
35,kesini
35,pas
35,lg
35,sepi
35,dan
35,tempatnya
35,super
35,nyamaaan
35,dan
35,cantik
35,makanan
35,sama
35,minumannya
35,jg
35,enak2
35,dan
35,porsinya
35,pas
35,pelayanannya
35,ramah
35,ada
35,tempat
35,bermain
35,sm
35,mushola
35,sgt
35,rekomen
35,kesiniii
36,setaraf
36,sama
36,koi
36,dessert
36,bar
36,di
36,sydney
36,yang
36,dipegang
36,chef
36,reynold
36,poernomo
36,best
36,cakes
36,i
36,have
36,ever
36,eaten
36,in
36,indonesia
36,and
36,at
36,an
36,amazing
36,price
37,great
37,food
37,so
37,many
37,variation
37,menus
37,and
37,the
37,price
37,is
37,right
37,not
37,too
37,low
37,not
37,too
37,high
37,the
37,taste
37,is
37,also
37,delicious
37,great
37,ambience
37,around
37,resto
37,especially
37,the
37,outdoor
37,area
37,fast
37,response
37,from
37,the
37,staffs
38,kita
38,pesen
38,chicken
38,parmagiana
38,tunggu
38,4
38,menit
38,masih
38,belum
38,datang2saya
